CMDLINE python src/main.py
MEM 0.203125 1740999082.5455
MEM 21.875000 1740999082.6507
MEM 36.656250 1740999082.7559
MEM 47.062500 1740999082.8610
MEM 58.656250 1740999082.9662
MEM 69.078125 1740999083.0713
MEM 79.750000 1740999083.1764
MEM 84.328125 1740999083.2816
MEM 92.500000 1740999083.3867
MEM 106.687500 1740999083.4919
MEM 119.500000 1740999083.5971
MEM 131.234375 1740999083.7022
MEM 139.609375 1740999083.8073
MEM 146.093750 1740999083.9125
MEM 156.687500 1740999084.0176
MEM 164.656250 1740999084.1182
MEM 166.718750 1740999084.2233
MEM 170.171875 1740999084.3284
MEM 172.546875 1740999084.4336
MEM 176.578125 1740999084.5387
MEM 181.406250 1740999084.6438
MEM 184.812500 1740999084.7489
MEM 187.656250 1740999084.8540
MEM 191.281250 1740999084.9591
MEM 194.921875 1740999085.0642
MEM 201.312500 1740999085.1646
MEM 204.250000 1740999085.2697
MEM 209.406250 1740999085.3748
MEM 211.812500 1740999085.4799
MEM 215.734375 1740999085.5850
MEM 223.609375 1740999085.6901
MEM 235.593750 1740999085.7952
MEM 260.156250 1740999085.9004
MEM 279.921875 1740999086.0056
MEM 294.765625 1740999086.1107
MEM 303.187500 1740999086.2159
MEM 313.093750 1740999086.3210
MEM 323.890625 1740999086.4261
MEM 329.906250 1740999086.5313
MEM 337.906250 1740999086.6364
MEM 346.562500 1740999086.7415
MEM 357.562500 1740999086.8466
MEM 362.500000 1740999086.9517
MEM 374.640625 1740999087.0568
MEM 384.343750 1740999087.1620
MEM 392.546875 1740999087.2671
MEM 399.140625 1740999087.3686
MEM 411.390625 1740999087.4738
MEM 417.515625 1740999087.5789
MEM 419.046875 1740999087.6840
MEM 423.031250 1740999087.7892
MEM 431.671875 1740999087.8928
MEM 439.609375 1740999087.9980
MEM 448.828125 1740999088.1031
MEM 460.375000 1740999088.2082
MEM 467.187500 1740999088.3133
MEM 472.187500 1740999088.4184
MEM 477.906250 1740999088.5236
MEM 481.218750 1740999088.6287
MEM 490.953125 1740999088.7338
MEM 496.296875 1740999088.8389
MEM 502.078125 1740999088.9440
MEM 507.703125 1740999089.0491
MEM 514.109375 1740999089.1508
MEM 518.593750 1740999089.2559
MEM 525.953125 1740999089.3610
MEM 533.109375 1740999089.4661
MEM 535.062500 1740999089.5712
MEM 535.375000 1740999089.6763
MEM 536.281250 1740999089.7814
MEM 538.203125 1740999089.8865
MEM 540.109375 1740999089.9916
MEM 541.593750 1740999090.0967
MEM 542.390625 1740999090.2018
MEM 542.671875 1740999090.3057
MEM 542.984375 1740999090.4107
MEM 543.281250 1740999090.5150
MEM 543.578125 1740999090.6200
MEM 543.937500 1740999090.7231
MEM 544.296875 1740999090.8261
MEM 544.562500 1740999090.9309
MEM 544.890625 1740999091.0358
MEM 545.281250 1740999091.1407
MEM 545.843750 1740999091.2457
MEM 546.328125 1740999091.3488
MEM 546.687500 1740999091.4536
