CMDLINE python src/main.py
MEM 0.171875 1740998376.6090
MEM 22.296875 1740998376.7142
MEM 36.359375 1740998376.8190
MEM 46.609375 1740998376.9242
MEM 57.218750 1740998377.0293
MEM 69.140625 1740998377.1344
MEM 79.687500 1740998377.2396
MEM 84.750000 1740998377.3447
MEM 91.453125 1740998377.4499
MEM 104.453125 1740998377.5550
MEM 116.546875 1740998377.6602
MEM 127.718750 1740998377.7653
MEM 136.343750 1740998377.8670
MEM 144.109375 1740998377.9685
MEM 151.109375 1740998378.0736
MEM 164.093750 1740998378.1788
MEM 166.031250 1740998378.2839
MEM 169.078125 1740998378.3890
MEM 171.843750 1740998378.4942
MEM 175.281250 1740998378.5993
MEM 180.281250 1740998378.7011
MEM 183.906250 1740998378.8063
MEM 186.437500 1740998378.9114
MEM 189.859375 1740998379.0165
MEM 193.343750 1740998379.1217
MEM 197.984375 1740998379.2268
MEM 202.890625 1740998379.3319
MEM 207.593750 1740998379.4370
MEM 211.453125 1740998379.5421
MEM 214.046875 1740998379.6472
MEM 218.515625 1740998379.7523
MEM 229.781250 1740998379.8574
MEM 249.375000 1740998379.9627
MEM 272.531250 1740998380.0678
MEM 291.093750 1740998380.1730
MEM 299.890625 1740998380.2782
MEM 308.000000 1740998380.3834
MEM 320.000000 1740998380.4885
MEM 326.218750 1740998380.5936
MEM 335.031250 1740998380.6988
MEM 342.984375 1740998380.8039
MEM 353.609375 1740998380.9090
MEM 362.187500 1740998381.0142
MEM 367.265625 1740998381.1193
MEM 380.562500 1740998381.2245
MEM 390.843750 1740998381.3296
MEM 396.859375 1740998381.4347
MEM 405.734375 1740998381.5398
MEM 416.343750 1740998381.6450
MEM 419.171875 1740998381.7502
MEM 421.406250 1740998381.8553
MEM 430.156250 1740998381.9606
MEM 436.593750 1740998382.0657
MEM 441.359375 1740998382.1708
MEM 454.750000 1740998382.2760
MEM 463.031250 1740998382.3811
MEM 467.375000 1740998382.4863
MEM 472.562500 1740998382.5914
MEM 476.343750 1740998382.6965
MEM 483.562500 1740998382.8017
MEM 491.484375 1740998382.9068
MEM 492.046875 1740998383.0120
MEM 492.046875 1740998383.1171
MEM 492.296875 1740998383.2223
MEM 491.421875 1740998383.3274
