CMDLINE python src/main.py
MEM 580.156250 1740998685.6891
MEM 580.187500 1740998685.7942
MEM 580.234375 1740998685.8993
MEM 580.312500 1740998686.0044
MEM 580.390625 1740998686.1094
MEM 580.515625 1740998686.2131
MEM 580.640625 1740998686.3183
MEM 580.765625 1740998686.4235
MEM 580.906250 1740998686.5286
MEM 580.921875 1740998686.6337
MEM 581.078125 1740998686.7388
MEM 581.156250 1740998686.8439
MEM 581.328125 1740998686.9490
MEM 581.562500 1740998687.0541
MEM 581.609375 1740998687.1592
MEM 581.703125 1740998687.2643
MEM 581.750000 1740998687.3695
MEM 581.828125 1740998687.4745
MEM 582.015625 1740998687.5796
MEM 582.109375 1740998687.6847
MEM 582.234375 1740998687.7898
MEM 582.406250 1740998687.8949
MEM 582.593750 1740998688.0001
MEM 582.703125 1740998688.1052
MEM 582.921875 1740998688.2104
MEM 582.968750 1740998688.3155
MEM 583.156250 1740998688.4206
MEM 583.281250 1740998688.5257
MEM 583.406250 1740998688.6309
MEM 583.562500 1740998688.7360
MEM 583.687500 1740998688.8411
MEM 583.890625 1740998688.9463
MEM 584.109375 1740998689.0514
MEM 584.250000 1740998689.1565
MEM 584.453125 1740998689.2586
MEM 584.703125 1740998689.3637
MEM 584.843750 1740998689.4689
MEM 585.234375 1740998689.5740
MEM 585.468750 1740998689.6759
MEM 585.640625 1740998689.7767
MEM 585.828125 1740998689.8818
MEM 585.937500 1740998689.9870
MEM 586.140625 1740998690.0917
MEM 586.203125 1740998690.1968
MEM 586.390625 1740998690.3020
MEM 586.453125 1740998690.4071
MEM 586.609375 1740998690.5090
MEM 586.875000 1740998690.6141
MEM 587.000000 1740998690.7193
MEM 587.093750 1740998690.8244
MEM 587.640625 1740998690.9257
MEM 588.125000 1740998691.0308
MEM 588.328125 1740998691.1359
MEM 588.578125 1740998691.2411
MEM 588.750000 1740998691.3462
MEM 588.906250 1740998691.4500
MEM 590.015625 1740998691.5551
MEM 590.093750 1740998691.6602
MEM 590.656250 1740998691.7654
MEM 590.703125 1740998691.8705
MEM 590.875000 1740998691.9757
MEM 590.984375 1740998692.0768
MEM 591.718750 1740998692.1819
MEM 591.921875 1740998692.2870
MEM 592.609375 1740998692.3920
MEM 592.765625 1740998692.4971
MEM 593.000000 1740998692.6022
MEM 593.015625 1740998692.7063
MEM 593.234375 1740998692.8114
MEM 594.781250 1740998692.9165
MEM 597.687500 1740998693.0217
MEM 597.906250 1740998693.1267
MEM 598.140625 1740998693.2318
MEM 598.203125 1740998693.3329
MEM 598.515625 1740998693.4380
MEM 600.265625 1740998693.5431
MEM 600.484375 1740998693.6482
MEM 602.390625 1740998693.7533
MEM 602.515625 1740998693.8584
MEM 602.750000 1740998693.9636
MEM 602.765625 1740998694.0687
MEM 603.187500 1740998694.1690
MEM 604.953125 1740998694.2697
MEM 605.140625 1740998694.3748
MEM 605.281250 1740998694.4799
MEM 605.468750 1740998694.5850
MEM 605.656250 1740998694.6900
MEM 605.765625 1740998694.7951
MEM 605.843750 1740998694.9002
MEM 607.812500 1740998695.0054
MEM 607.875000 1740998695.1105
MEM 608.734375 1740998695.2156
MEM 608.937500 1740998695.3207
MEM 609.125000 1740998695.4258
MEM 609.218750 1740998695.5309
MEM 609.593750 1740998695.6360
MEM 613.937500 1740998695.7411
MEM 618.937500 1740998695.8463
MEM 619.156250 1740998695.9514
MEM 619.250000 1740998696.0565
MEM 619.265625 1740998696.1616
MEM 619.312500 1740998696.2667
MEM 619.375000 1740998696.3719
MEM 620.578125 1740998696.4770
MEM 621.468750 1740998696.5821
MEM 622.218750 1740998696.6872
MEM 622.875000 1740998696.7885
MEM 623.546875 1740998696.8936
MEM 624.109375 1740998696.9986
MEM 624.531250 1740998697.1037
MEM 626.046875 1740998697.2088
MEM 627.250000 1740998697.3139
MEM 632.218750 1740998697.4190
MEM 635.890625 1740998697.5241
MEM 643.218750 1740998697.6292
