CMDLINE python src/main.py
MEM 0.187500 1740998431.2166
MEM 23.171875 1740998431.3218
MEM 38.796875 1740998431.4269
MEM 50.937500 1740998431.5321
MEM 62.140625 1740998431.6372
MEM 74.671875 1740998431.7423
MEM 81.781250 1740998431.8475
MEM 87.687500 1740998431.9512
MEM 98.921875 1740998432.0564
MEM 110.015625 1740998432.1615
MEM 123.000000 1740998432.2666
MEM 133.515625 1740998432.3694
MEM 142.171875 1740998432.4745
MEM 148.859375 1740998432.5780
MEM 163.031250 1740998432.6832
MEM 165.171875 1740998432.7883
MEM 168.109375 1740998432.8935
MEM 171.031250 1740998432.9986
MEM 174.140625 1740998433.1037
MEM 178.234375 1740998433.2089
MEM 183.046875 1740998433.3140
MEM 185.578125 1740998433.4191
MEM 188.953125 1740998433.5242
MEM 192.546875 1740998433.6293
MEM 197.031250 1740998433.7344
MEM 202.000000 1740998433.8395
MEM 206.578125 1740998433.9446
MEM 210.765625 1740998434.0497
MEM 213.125000 1740998434.1542
MEM 217.515625 1740998434.2593
MEM 227.296875 1740998434.3645
MEM 244.250000 1740998434.4696
MEM 270.968750 1740998434.5749
MEM 290.000000 1740998434.6801
MEM 300.453125 1740998434.7852
MEM 309.453125 1740998434.8903
MEM 321.484375 1740998434.9955
MEM 327.406250 1740998435.1006
MEM 335.687500 1740998435.2017
MEM 344.406250 1740998435.3069
MEM 354.359375 1740998435.4120
MEM 359.265625 1740998435.5161
MEM 362.765625 1740998435.6212
MEM 374.828125 1740998435.7263
MEM 384.062500 1740998435.8315
MEM 392.031250 1740998435.9361
MEM 397.906250 1740998436.0363
MEM 407.937500 1740998436.1415
MEM 416.406250 1740998436.2466
MEM 418.812500 1740998436.3518
MEM 422.109375 1740998436.4569
MEM 431.250000 1740998436.5622
MEM 436.640625 1740998436.6673
MEM 440.562500 1740998436.7710
MEM 455.843750 1740998436.8761
MEM 464.484375 1740998436.9812
MEM 470.578125 1740998437.0864
MEM 474.765625 1740998437.1889
MEM 478.468750 1740998437.2923
MEM 485.687500 1740998437.3974
MEM 493.046875 1740998437.5026
MEM 494.500000 1740998437.6028
MEM 494.500000 1740998437.7080
